noise,coupling,conn_complex,cv,cv2,isi_distance,max_cluster,mean_firing_rate,pearson_correlation,fano_factor,spike_contrast,spike_distance,spike_sync,largest_assembly,assembly_variety
0.0,0.0,40,0.00023367,4.755e-05,0.00037,40,2.32,0.28269192,0.0,0.44139734,0.17753,0.99988,43,38
0.0,0.005,50,0.00033488,7.093e-05,9e-05,15,2.32,0.99668092,0.0,0.99983603,0.00061,1.0,50,12
0.0,0.01,50,0.00027076,6.122e-05,4e-05,5,2.32,0.99920043,0.0,1.0,0.00019,1.0,50,4
0.0,0.015,50,0.00026287,5.925e-05,3e-05,3,2.32,0.99955886,0.0,1.0,0.00012,1.0,50,4
0.0,0.02,50,0.00137093,0.00011972,0.00264,19,2.31804,0.99664427,0.00350261,0.99802828,0.00174,0.99929,50,13
0.0,0.025,19,0.86864244,1.01428697,0.4453,17,0.02632,0.15090529,0.95246201,0.31668711,0.26578,0.31158,19,18
0.0,0.03,26,0.90137177,0.95471104,0.45429,23,0.05472,0.19764324,1.3402924,0.2998643,0.24541,0.38573,27,26
0.0,0.035,45,1.02479169,1.00042075,0.45176,30,0.1078,0.25472416,0.90037106,0.29911887,0.24839,0.39331,45,33
0.0,0.04,45,0.98992192,1.01057686,0.43454,40,0.18076,0.3473808,0.8448285,0.40672148,0.22461,0.46144,45,42
0.0,0.045,50,2.00308044,0.01894306,0.08759,29,1.91384,0.98119825,0.01203194,0.98868525,0.04443,0.98989,50,31
0.0,0.05,50,0.00032223,5.53e-05,5e-05,1,2.32,1.0,0.0,1.0,7e-05,1.0,50,2
0.0,0.055,50,0.00024029,4.963e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.06,50,0.00023876,4.958e-05,0.00078,2,2.3208,0.9996063,0.00020683,0.99978895,0.00024,0.99979,50,3
0.0,0.065,50,0.01592132,0.00033152,0.00169,4,2.31672,0.99890758,0.0001989,0.99979704,0.00069,0.9998,50,5
0.0,0.07,50,0.00024179,4.908e-05,1e-05,1,2.32,1.0,0.0,1.0,2e-05,1.0,50,2
0.0,0.075,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.08,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.085,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.09,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.095,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.1,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.105,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.11,50,0.00023789,4.867e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.115,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.12,50,0.00024904,4.828e-05,1e-05,1,2.32,1.0,0.0,1.0,1e-05,1.0,50,2
0.0,0.125,50,0.00024021,4.767e-05,1e-05,1,2.32,1.0,0.0,1.0,1e-05,1.0,50,2
0.0,0.13,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.135,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.14,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.145,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.15,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.155,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.16,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.165,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.17,50,0.00022496,4.403e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.175,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.18,50,0.00023486,4.603e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.185,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.19,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.195,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0,0.2,50,0.00023486,4.803e-05,0.0,1,2.32,1.0,0.0,1.0,0.0,1.0,50,2
0.0001,0.0,40,0.00122768,0.00127157,0.00143,40,2.32,0.2835834,0.0,0.44047293,0.1773,0.99852,44,39
0.0001,0.005,50,0.00122869,0.00125394,0.00114,36,2.32,0.99196882,0.0,0.99649261,0.00214,1.0,50,25
0.0001,0.01,50,0.0011766,0.00117988,0.00105,28,2.32,0.99333295,0.0,0.99847044,0.00136,1.0,50,20
0.0001,0.015,50,0.00115548,0.00114245,0.00102,23,2.32,0.99698158,0.0,0.99834518,0.00113,1.0,50,14
0.0001,0.02,12,0.63147006,1.08001038,0.40256,10,0.00564,0.1082055,1.10198582,0.22348037,0.27798,0.2827,17,11
0.0001,0.025,4,,,0.02661,3,0.0004799999999999,0.16327153,0.92666667,0.10962302,0.01712,0.81667,4,4
0.0001,0.03,25,0.96960385,1.0076605,0.47836,22,0.05488,0.18135058,1.42151603,0.27193459,0.25632,0.37092,28,24
0.0001,0.035,36,0.99311121,0.97880046,0.45194,28,0.09376,0.24176978,0.84866894,0.27244833,0.24776,0.38347,38,30
0.0001,0.04,50,0.87685136,0.00673258,0.0268,32,2.20316,0.98901262,0.00156466,0.99566448,0.01509,0.99693,50,29
0.0001,0.045,50,2.63022023,0.06660691,0.23431,36,1.23744,0.93889614,0.05010603,0.9555457,0.12231,0.96207,50,36
0.0001,0.05,50,0.71674671,0.00462036,0.02209,22,2.22268,0.99512139,0.00203754,0.99765828,0.01243,0.99828,50,14
0.0001,0.055,50,0.00094853,0.00071153,0.00065,16,2.316,0.99723695,0.0,0.99949068,0.00047,1.0,50,14
0.0001,0.06,50,0.00087957,0.00066827,0.00108,12,2.3204,0.99967321,0.00013791,0.99925277,0.00054,0.99986,50,5
0.0001,0.065,50,0.24037345,0.00472306,0.00911,22,2.28964,0.9941927,0.00135183,0.99774281,0.00497,0.99817,50,18
